Type d'erreur	Erreur observée	Correction proposée	Fréquence dans l'échantillon	Frequence dans TGB	Date corpus	Date océrisation( voir gaël)	Remarque
Remplacement	dechéance	déchéance	1				
Remplacement	decider	décider	2				
Remplacement	Déclara	déclara	1				
Remplacement	Déclarations	déclarations	60				
Remplacement	Déclare	déclare	13				
Remplacement	Déclarée	déclarée	1				
Remplacement	declarés	déclarés	1				
Remplacement	dècoHiverts»	découvertes					
Remplacement	décorès	décorés					
Remplacement	décou^vertes	découvertes					
Remplacement	découverle	découverte					
Remplacement	decouvert	découvert	1				
Remplacement	decouverte	découverte	1				
Remplacement	decouvre	découvre	1				
Remplacement	décrivenl	décrivent					
Remplacement	deCùme	de Cume					
Remplacement	dédiielimis	déductions					
Remplacement	déeoiivertes	découvertes					
Remplacement	déeril	décrit					
Remplacement	defunt	défunt	1				
Remplacement	degoût	dégoût	1				
Remplacement	dejà	déjà	3				
Remplacement	dejiuis	depuis					
Remplacement	délail	détail					
Remplacement	délails	détails					
Remplacement	delais	délais	1				
Remplacement	Delauiiay	Delaunay					
Remplacement	delibération	délibération	2				
Remplacement	delibérations	délibérations	1				
Remplacement	delibérer	délibérer	1				
Remplacement	delire	délire	2				
Remplacement	delit	délit	2				
Remplacement	delits	délits	3				
Remplacement	delivrance	délivrance	6				
Remplacement	delivrée	délivrée	1				
Remplacement	delivrer	délivrer	2				
Remplacement	Déloe	Délos					
Remplacement	delord	de lord					
Remplacement	demarche	démarche	2				
Remplacement	demon	démon	30				
Remplacement	demontré	démontré	2				
Remplacement	demontrer	démontrer	1				
Remplacement	dénomina-lion	dénomination					
Remplacement	déoouverle	découverte					
Remplacement	depart	départ	7				
Remplacement	departement	département	8				
Remplacement	depasser	dépasser	6				
Remplacement	depend	dépend	1				
Remplacement	dependant	dépendant	2				
Remplacement	dependent	dépendent	2				
Remplacement	dePenses	dépenses	1				
Remplacement	deposition	déposition	1				
Remplacement	Depuisqiie	Depuis que					
Remplacement	Deputés	députés	1				
Remplacement	der/iin-	dernier					
Remplacement	derrièreThésée	derrière Thésée					
Remplacement	desaire	défaire	4				
Concaténation	desastres	des astres	2				
Remplacement	deserts	déserts	3				
Remplacement	desespoir	désespoir	8				
Remplacement	designation	désignation	1				
Remplacement	designe	désigne	1				
Remplacement	designé	désigné	5				
Remplacement	designée	désignée	3				
Remplacement	designées	désignées	3				
Remplacement	designés	désignés	2				
Remplacement	desir	désir	24				
Remplacement	Desir	désir	2				
Remplacement	desire	désire	12				
Remplacement	desirer	désirer	2				
Remplacement	désirnble	désirable					
Remplacement	desirs	désirs	13				
Remplacement	Desirs	désirs	1				
Remplacement	"deSolon"""	de Solon					
Remplacement	desoncôté	de son côté					
Remplacement	desordres	désordres	3				
Remplacement	desormais	désormais	5				
Remplacement	desPropylées	des Propylées					
Remplacement	details	détails	2				
Remplacement	detention	détention	1				
Remplacement	determiné	détermine	2				
Remplacement	determinée	déterminée	1				
Remplacement	determiner	déterminer	1				
Remplacement	detourner	détourner	1				
Remplacement	detruit	détruit	2				
Remplacement	deu.x	deux					
Remplacement	deug	deux					
Remplacement	Deux^Mondes	Deux-Mondes					
Remplacement	deuxvilles	deux villes					
Remplacement	devail	devait					
Remplacement	deveoflie	devenue					
Remplacement	deVlnst	de l’Inst					
Remplacement	devouement	dévouement	1				
Remplacement	dezèleetplusdemaladresse	de zèle et plus de maladresse					
Remplacement	dgalement	également					
Concatenation	diamè- tre	diamètre					
Remplacement	Dicliiiiintiire	Dictionnaire					
Remplacement	Diclinnnaire	Dictionnaire					
Remplacement	Diclionary	Dictionary					
Remplacement	Diclioniiaire	Dictionnaire					
Remplacement	diclionnaire	dictionnaire					
Remplacement	Diclionnairi'	Dictionnaire					
Remplacement	Dictionnit're	Dictionnaire					
Concatenation	DicTiow aiim:	Dictionnaire:					
Remplacement	Dictirmmiire	Dictionnaire					
Remplacement	DIDIEH	DIDIER					
Remplacement	diËFérents	différents					
Remplacement	DiERKs	Dierks					
Remplacement	différcnls	différents					
Remplacement	différencialions	différenciations					
Remplacement	diflicullos	difficultés					
Remplacement	diftîcile	difficile					
Remplacement	diie	dite					
Remplacement	Diirpfeld	Dörpfeld					
Remplacement	dil-il	Dit-il					
Remplacement	dil'licile	difficile					
Remplacement	dilïicilc	difficile					
Remplacement	dilléraienl	différaient					
Remplacement	dilTérents	différents					
Remplacement	diminue]'	diminuer					
Remplacement	Diocléticn	Dioclétien					
Remplacement	dirccle	directe					
Concatenation	direc« teur	directeur					
Remplacement	direefemenl	directement					
Remplacement	DiRKCTKiiR	DIRECTEUR					
Remplacement	disciplini!	discipline					
Remplacement	dislance	distance					
Remplacement	dispaiu	disparu					
Remplacement	disparuesj	disparues					
Remplacement	disposiliou	disposition					
Remplacement	ditlîculté	difficulté					
Remplacement	ditYérence	différence					
Remplacement	divertissementqu'ils	divertissement qu'ils					
Remplacement	dk	de					
Remplacement	DK	DE					
Remplacement	Dl	DE					
Remplacement	dnns	dans					
Remplacement	do	de					
Remplacement	documenl	document					
Remplacement	documenls	documents					
Remplacement	Dodwcll'	Dodwell					
Remplacement	doeiinienls	documents					
Remplacement	doeunieiits	documents					
Remplacement	doeunients	documents					
Remplacement	doil	doit					
Remplacement	doimé	donné					
Remplacement	dom&ine	domaine					
Remplacement	don!	dont					
Remplacement	done	donc					
Remplacement	donl	dont					
Remplacement	dord	doré					
Remplacement	dordes	dorées					
Remplacement	dossc-lels	osselets					
Remplacement	doule	doute					
Remplacement	douleureuse	douloureuse	4				
Remplacement	douleureux	douloureux	2				
Remplacement	douze	Conze					
Remplacement	dquar-	équar-					
Remplacement	draclimes	drachmes					
Remplacement	drapdes	drapées					
Remplacement	droiI.	droit					
Remplacement	droile	droite					
Remplacement	dt'jà	déjà					
Remplacement	dtait	était					
Remplacement	dtapes	étapes					
Concatenation	DTCTIONN \II{I	DICTIONNAIRE					
Remplacement	dtiligncr	d’aligner					
Remplacement	dü	du					
Remplacement	DuHN	Duhn					
Remplacement	Dumnlicrg	Daremberg					
Remplacement	DumonI	Dumont					
Remplacement	Dumonl	Dumont					
Remplacement	DUTUITLA	DUTUIT LA					
Remplacement	Dynaftie	Dynastie	299				
Remplacement	dynaftie	Dynastie	13				
Remplacement	dyuasli(|ue	dynastique					
Remplacement	E	F					
Remplacement	e'esL	c’est					
Remplacement	e»	en					
Remplacement	e(	et					
Remplacement	é/é	été					
Remplacement	Ea	en	32				
Remplacement	EA	en	10				
Remplacement	eA	en	3				
Remplacement	easuite	ensuite					
Remplacement	éb^vée	élevée					
Remplacement	échtipptiil	échappait					
Remplacement	eclair^	éclairé					
Remplacement	Ecole	École	379				
Remplacement	ecole	école					
Remplacement	Ecos	Eros					
Remplacement	?crit	écrit					
Remplacement	édilice	édifice					
Remplacement	édisice	édifice	1				
Remplacement	editeur	éditeur					
Remplacement	editeurs	éditeurs					
Remplacement	EDMO.ND	EDMOND					
Remplacement	Edouard	Édouard	745				
Remplacement	Ee	ce	20				
Remplacement	EE	ce	13				
Remplacement	eE	ce	2				
Remplacement	eela	cela					
Remplacement	éeliouail	échouait					
Remplacement	ees	ces					
Remplacement	éetat	éclat	1				
Remplacement	efprit	esprit	262				
Remplacement	Efprit	esprit	31				
Remplacement	égjpto-phénîcien	égypto-phénicien					
Remplacement	Eglise	Église	1064				
Remplacement	eglise	Église	1				
Remplacement	Egypte	Égypte	1400				
Remplacement	egypte	Égypte	1				
Remplacement	egyptiens	égyptiens					
Remplacement	éhil	état					
Remplacement	éîait	était					
Remplacement	einture	peinture					
Remplacement	eintures	peintures					
Remplacement	éj)0(jue	époque					
Remplacement	el	et					
Remplacement	élabli	établi					
Remplacement	élages	étages					
Remplacement	élaienl	étaient					
Remplacement	élaient	étaient					
Remplacement	élail	était					
Remplacement	élal	état					
Remplacement	élaldil	établit					
Remplacement	élanl	étant					
Remplacement	elc.	etc.					
Remplacement	élé	été					
Remplacement	élé-menls	éléments					
Remplacement	élege	éloge	1				
Remplacement	elfel	effet					
Remplacement	elfet	effet					
Remplacement	èli'('	être					
Remplacement	elie	elle					
Remplacement	elïilé	effilé					
Remplacement	Elisabeth	Élisabeth	273				
Remplacement	ÉLivK	ÉLÈVE					
Remplacement	ellel	effet					
Remplacement	ellemême	elle-même	231				
Remplacement	Ellemême	elle-même	1				
Remplacement	élnienl	étaient					
Remplacement	èlrc	être					
Remplacement	êlrc!	être					
Remplacement	èlre	être					
Remplacement	Élrurie	Étrurie					
Remplacement	élrusi/Jie	étrusque					
Remplacement	elTort	effort					
Remplacement	élude	étude					
Remplacement	éludes	études					
Remplacement	éludié	étudié					
Remplacement	élyniologics	étymologies					
Remplacement	émérile	émérite					
Remplacement	émif^ra	émigra					
Remplacement	Emmandil	Emmanuel					
Remplacement	empleyer	employer	1				
Concatenation	EMPRUNTE!: S	EMPRUNTÉES					
Concatenation	en- tre	entre					
Concatenation	en. tre	entre					
Remplacement	Encyclojiédies	Encyclopédies					
Remplacement	enfantsurlachèvre	enfant sur la chèvre					
Remplacement	Ënfm	Enfin					
Remplacement	enfuite	ensuite	233				
Remplacement	Enfuite	ensuite	8				
Remplacement	Enlin	Enfin					
Remplacement	enlraif	entrait					
Remplacement	enlrelenaienl	entretenaient					
Remplacement	enlreprenail	entreprenait					
Remplacement	enluminds	enluminés					
Remplacement	enscndjlc	ensemble					
Remplacement	enser	enfer	1				
Remplacement	ensin	enfin	6				
Remplacement	ensuilc	ensuite					
Remplacement	entahlement	entablement					
Remplacement	entevant	enlevant					
Remplacement	entranl	entrant					
Remplacement	eoiicoiirenl	concourent					
Concatenation	EOLLEC1 ION	COLLECTION					
Remplacement	eollections	collections					
Remplacement	eomballail	combattait					
Remplacement	eomme	comme					
Remplacement	eompli((uée	compliquée					
Remplacement	eomposenl	composent					
Remplacement	Eond	Fond					
Remplacement	eoniplt'	compte					
Remplacement	eonlre-amiral	Contre-amiral					
Remplacement	eonnaîlre	connaître					
Remplacement	eonsi-déi'idile	considérable					
Remplacement	eonslruelions	constructions					
Remplacement	Eorme	Forme					
Remplacement	Eouqué	Fouqué					
Remplacement	eousidévahles	considérables					
Remplacement	eouummlanl	commentant					
Remplacement	ephèbe	éphèbe					
Concatenation	ephore s	éphores					
Remplacement	épidemie	épidémie	2				
Remplacement	épidemies	épidémies	1				
Remplacement	épidemique	épidémique	7				
Remplacement	épo(jue	époque					
Remplacement	époipie	époque					
Remplacement	équ^tre.	équestre.					
Remplacement	eraignail	craignait					
Remplacement	erémalion	crémation					
Remplacement	eros	éros					
Remplacement	erres	terres					
Remplacement	érudil	érudit					
Remplacement	érudils	érudits					
Remplacement	es(	est					
Remplacement	eschichte	Geschichte					
Remplacement	esl	est	303				
Remplacement	esL	est	34				
Remplacement	Esl	Est	9				
Remplacement	Esl-cc	Est-ce					
Remplacement	essenliellcmenl	essentiellement					
Remplacement	essenlielles	essentielles					
Concaténation	est-àdire	est-à-dire	236				
Remplacement	està-dire	est-à-dire	222				
Remplacement	esth^tique	esthétique					
Remplacement	esthdtique	esthétique					
Remplacement	et^	été					
Remplacement	étail	était					
Remplacement	etait	était					
Remplacement	étaitadministré	était administré					
Remplacement	etat	état					
Remplacement	Etats	États	866				
Remplacement	etats	États	1				
Remplacement	etd	été					
Remplacement	etd'ossements	et d’ossements					
Remplacement	etde	et de	241				
Concaténation	etDe	et de	1				
Concaténation	Etde	et de	1				
Remplacement	ete	été	60				
Remplacement	EtE	été	7				
Remplacement	Eté	été	34				
Remplacement	eté	été	5				
Remplacement	êti*e	être					
Remplacement	Etienne	Étienne	632				
Remplacement	ETIENNE	Étienne	37				
Remplacement	étiolegie	étiologie	1				
Remplacement	etles	et les					
Remplacement	etlt-il	eût-il					
Remplacement	etos	clos	3				
Remplacement	etqueson	et que son					
Remplacement	etre	être					
Remplacement	ètre	être					
Remplacement	Étrusijue	Étrusque					
Remplacement	ÉTtJDB	ÉTUDE					
Remplacement	ÉTUDB	ÉTUDE					
Remplacement	ETUDF	ÉTUDE					
Remplacement	etudfe	étude					
Remplacement	eu.v	eux					
Remplacement	Euiope	Europe					
Remplacement	eulre	entre					
Remplacement	eumbal	combat					
Remplacement	eux-m^mes	eux-mêmes					
Remplacement	évoluai!	évoluait					
Remplacement	eVs(	c’est					
Concatenation	exacte« tement	exactement					
Remplacement	excellenle	excellente					
Remplacement	EXCOBSIQNS	EXCURSIONS					
Remplacement	exemplatres	exemplaires					
Remplacement	exenq^lC	exemple					
Remplacement	exercd	exercé					
Remplacement	exigeai!	exigeait					
Remplacement	exigi'ons	exigeons					
Remplacement	exislanls	existants					
Remplacement	exnel	exact					
Remplacement	expérinienlés	expérimentés					
Remplacement	exposd	exposé					
Remplacement	f^te	fête					
Remplacement	f|uc	que					
Remplacement	fa^ons	façons					
Remplacement	faanilos	grandes					
Remplacement	fabri(iu('s	fabriqués					
Remplacement	fabricatiini	fabrication					
Remplacement	fabriquai!	fabriquait					
Remplacement	fafuilles	familles					
Remplacement	faiie	faire					
Remplacement	fail	fait					
Remplacement	failagc	faitage					
Remplacement	failières	faîtières					
Remplacement	faiteparThéodotosd'un	faite par Théodotos d’un					
Remplacement	Fart	l’art					
Remplacement	fart	l’art					
Remplacement	faui	faut					
Remplacement	Fbbmiqui	Fernique					
Remplacement	FÉcole	l’École					
Remplacement	fégypte	l’égypte					
Remplacement	fêle	fête					
Remplacement	félégance	l’élégance					
Remplacement	fémme	femme					
Concatenation	fenê. tre	fenêtre					
Remplacement	fépaule	l’épaule					
Remplacement	férable	l’érable					
Remplacement	ferre-cuite	terre-cuite					
Remplacement	ferres	terres					
Remplacement	Ferres	Terres					
Remplacement	ferres-cuites,	terres-cuites,					
Remplacement	fétc	fête					
Remplacement	fèuilles	feuilles					
Remplacement	fftfllt'nvn	Hellenen					
Remplacement	Fhontox	Fronton					
Remplacement	fiaîtes	faite					
Concatenation	fiel les-	belles-					
Remplacement	fiRÉCB	GRÈCE					
Remplacement	flalteuse	flatteuse					
Remplacement	flanqué.de	flanqué de					
Remplacement	flans	dans					
Remplacement	flansla	dans la					
Remplacement	foetus	fœtus	303				
Remplacement	Foetus	fœtus	20				
Remplacement	Foeuvre	l’oeuvre					
Remplacement	foi'ces	forces					
Remplacement	fondamenlal	fondamental					
Remplacement	fonl	font					
Remplacement	fonth''	fondé					
Remplacement	for/né	formé					
Remplacement	Forifice	l’orifice					
Remplacement	forinuli'r	formuler					
Remplacement	FOTTFER	POTTIER					
Remplacement	fout	font					
Remplacement	fouvent	souvent	296				
Remplacement	fragnienl	fragment					
Remplacement	française^	françaises					
Remplacement	Franco	France					
Remplacement	FRANG&n	FRANÇAISE					
Remplacement	Frangalaos	Française					
Remplacement	fU|	fut					
Remplacement	funèpres	funèbres					
Remplacement	fur	für					
Remplacement	furnom	surnom	345				
Remplacement	furnommé	surnommé	228				
Remplacement	FuRTwÄRGLEn	Furtwängler					
Remplacement	Fuuquiéres	Fouquières					
Concatenation	G raser	Graser					
Concatenation	G1GANT0- MACHIE	GIGANTOMACHIE					
Remplacement	ganche	gauche					
Remplacement	GARTAULT	CARTAULT					
Remplacement	Garthage	Carthage					
Remplacement	Gatal.ofthe	Catal. of the					
Remplacement	gaucho	gauche					
Remplacement	Gazelle	Gazette					
Remplacement	gcometrisciien	geometrischen					
Remplacement	Ge	Ce					
Remplacement	genre,c’esl-à-dirc	genre, c’est-à-dire					
Remplacement	géof/rapJiie	géographie					
Remplacement	geomé-triques	géométriques					
Remplacement	géomélrique	géométrique					
Remplacement	géomélrupies	géométriques					
Remplacement	Geux	Ceux					
Remplacement	Ghaldée	Chaldée					
Remplacement	gi(jue	gique					
Remplacement	Gicéron	Cicéron					
Remplacement	gigantes(|ue	gigantesque					
Remplacement	gitjiie	gique					
Remplacement	Giuscppe	Giuseppe					
Concatenation	Gl- GANTOMACHIE.	GIGANTOMACHIE.					
Remplacement	Gnzette	Gazette					
Remplacement	GOLLtoB	COLLÈGE					
Remplacement	Golse	Golfe	4				
Remplacement	goni	goût					
Remplacement	Götterversamnilung	Götterversammlung					
Remplacement	Gr^ce	Grèce					
Remplacement	gra'car	graecar					
Remplacement	gra/id	grand					
Remplacement	gràber	Gräber					
Remplacement	graïul	grand					
Remplacement	Grascr	Graser					
Remplacement	Gratter	Gräber					
Remplacement	Gravièrc	Gravière					
Remplacement	Grdce	Grèce					
Remplacement	grec(]ues	grecques					
Remplacement	grec(|ues	grecques					
Remplacement	grec(jue	grecque					
Remplacement	grec0ie	grecque					
Remplacement	grece	Grèce					
Remplacement	Grece	Grèce					
Remplacement	Gréce	Grèce					
Remplacement	greceten	grec et en					
Remplacement	GRÈCfci	GRÈCE					
Remplacement	GRECQ.UE	GRECQUE					
Remplacement	GRÈGE	GRÈCE					
Remplacement	grsLce	grâce					
Remplacement	gu'à	qu’à					
Remplacement	gu'il	qu’il					
Remplacement	gu^re	guère					
Remplacement	GUBRRB	GUERRE					
Remplacement	gue	que					
Remplacement	Guienne	Guyenne	389				
Remplacement	hauveur	hauteur					
Remplacement	hcllc	belle					
Remplacement	Hcoles	Écoles					
Remplacement	heancoup	beaucoup					
Remplacement	HÉDICIS	MÉDICIS					
Remplacement	Hegire	Hégire	968				
Remplacement	Hejdemaun	Heydemann					
Concatenation	hel« Ioniques	helléniques					
Remplacement	Hellcnen	Hellenen					
Remplacement	helle'nique	hellénique					
Remplacement	helléniciue	hellénique					
Remplacement	hellenisclie	hellenische					
Remplacement	Hémoslbène	Démosthène					
Remplacement	Héperl	Répert					
Concatenation	Héphais- tos,	Héphaistos,					
Remplacement	Hermaich	Hermarch					
Remplacement	Hermogencs	Hermogenes					
Remplacement	Heslia	Hestia					
Remplacement	hesog-ne	besogne					
Remplacement	Hétas	Hélas					
Remplacement	Hetiri	Henri					
Remplacement	heUes-lettres	belles-lettres					
Remplacement	heuie	heure					
Remplacement	Hevue	Revue					
Remplacement	Heydcmann	Heydemann					
Remplacement	Hicn	Rien					
Remplacement	hicn	bien					
Remplacement	Hidcrire	Histoire					
Remplacement	Hiftoire	Histoire	611				
Remplacement	hiftoire	Histoire	32				
Remplacement	hisloricns	historiens					
Remplacement	HISTOIAB	HISTOIRE					
Remplacement	HISTOIRB	HISTOIRE					
Remplacement	hloc	bloc					
Remplacement	hoiilieurs	honneurs					
Remplacement	hoimnes	hommes					
Remplacement	Homa	Roma					
Remplacement	Homa,	Roma,					
Remplacement	Home	Rome					
Remplacement	hommaife	hommage					
Remplacement	honimesqui	hommes qui					
Remplacement	honmie	homme					
Remplacement	Hume	Rome					
Remplacement	HYCÉNES	MYCÈNES					
Remplacement	hypolhèse	hypothèse					
Remplacement	hypothèsp	hypothèse					
Concatenation	i ntéressa//fes	intéressantes					
Remplacement	i-éaliLé	réalité					
Remplacement	i;onlroversé	controversé					
Remplacement	I.acédémone	Lacédémone					
Remplacement	I.NSTITL'TIONS	INSTITUTIONS					
Remplacement	I'illusion	l’illusion					
Remplacement	I'outillage	l’outillage					
Remplacement	i)orlent	portent					
Remplacement	I/ar-lisle	l’artiste					
Remplacement	i^rec(pies	grecques					
Remplacement	i^rtnids	grands					
Remplacement	i^uère	guère					
Remplacement	i>tre	être					
Remplacement	I>U	DU					
Remplacement	i3COLLECTION	COLLECTION					
Remplacement	îa	la	293				
Remplacement	ÎA	la	4				
Remplacement	iaiportance	importance					
Remplacement	Icières	trières					
Remplacement	iddes	idées					
Remplacement	idocs	blocs					
Remplacement	iei	ici					
Remplacement	iEmilius	Emilius					
Remplacement	ih'bit	débit					
Remplacement	ihoisii-	choisir					
Remplacement	Ihomme	l’homme					
Remplacement	iiasards	hasards					
Remplacement	iiiscript	inscript					
Remplacement	iiniforuu'numl	uniformément					
Remplacement	iinmédialement	immédiatement					
Remplacement	iinmhre	nombre					
Remplacement	iiommage	hommage					
Remplacement	ijrec	grec					
Remplacement	iju'il	qu’il					
Remplacement	Ikulschc	Deutsche					
Remplacement	il'un	d’un					
Remplacement	ilconteste	il conteste					
Remplacement	Ilcuzev	Heuzey					
Remplacement	Ilècabè	Hècabè					
Remplacement	ilesiod	Hesiod					
Remplacement	Ileu/ev	Heuzey					
Remplacement	Ileydemann'^	Heydemann					
Remplacement	Iliéromnémons	Hiéromnémons					
Remplacement	Ilirschfeld	Hirschfeld					
Remplacement	Ilirsehfeld	Hirschfeld					
Remplacement	Ilirselileld	Hirschfeld					
Remplacement	ilo	de					
Remplacement	Ilolbig	Helbig					
Remplacement	ilomolle	Homolle					
Remplacement	imaginalion	imagination					
Remplacement	IMcrofole 	l’Acropole					
Remplacement	iMeistersignaturen	Meistersignaturen					
Remplacement	Imhoof-Blûraer	Imhoof-Blümer					
Remplacement	îmngc	image					
Remplacement	Impi	Lupi					
Remplacement	imporlante	importante					
Remplacement	imporlantes;les	importantes ; les					
Remplacement	importo	importe					
Remplacement	IMPRIMERIB	IMPRIMERIE					
Remplacement	Ims-i'clicf	Bas-relief					
Remplacement	iN'ous	Nous					
Remplacement	in(|uiétaient	inquiétaient					
Remplacement	in(li(|iie	indique					
Remplacement	in^gal	inégal					
Remplacement	inameuvrer	maneuvrer					
Remplacement	incerlilnde	incertitude					
Remplacement	incerlilndes	incertitudes					
Remplacement	incoménienls	inconvénients					
Remplacement	independamment	Indépendamment	1				
Remplacement	indiflFérence	indifférence					
Remplacement	Ini	lui répondis-je					
Remplacement	Ini|ir	Impr					
Remplacement	iniagiers	imagiers					
Remplacement	inicrprèles	interprètes					
Remplacement	iniluence	influence					
Remplacement	Inire	faire					
Remplacement	inlcrmédiaire	intermédiaire					
Remplacement	inléres-sant	intéressant					
Remplacement	inléressjmles	intéressantes					
Remplacement	inlerprélanl	interprétant					
Remplacement	inlluencer	influencer					
Remplacement	inlluent»	influence					
Remplacement	inlroduisirenl-ils	introduisirent-ils					
Remplacement	inonuincnls	monuments					
Remplacement	inouvemenl	mouvement					
Remplacement	Inqnelle	laquelle					
Remplacement	Inscnptions	Inscriptions					
Remplacement	inscrip-lions	inscriptions					
Remplacement	inscriprions	inscriptions					
Remplacement	insérail	insérait					
Remplacement	insigiiia	insigna					
Remplacement	Insl	Inst					
Remplacement	inslanlanémeuf	instantanément					
Remplacement	INTRODUGTiON	INTRODUCTION					
Remplacement	Inutilé	Inutile					
Remplacement	inutilé	inutile					
Remplacement	inutilé,	inutile,					
Remplacement	inutilé1	inutile1					
Remplacement	inutilé2	inutile2					
Remplacement	inveulécs	inventées					
Remplacement	invoqu6	invoqué					
Remplacement	ioue	loue					
Remplacement	iour	jour	352				
Remplacement	IOUR	jour	2				
Remplacement	Iour	jour	2				
Remplacement	ioUr	jour	1				
Remplacement	ipie	que					
Remplacement	ipii	qui					
Remplacement	Irailéi'	traitée					
Remplacement	irendre	gendre					
Remplacement	Iribord	tribord					
Remplacement	Iributet	tribut et					
Remplacement	Irièrc	trière					
Remplacement	Irièrcs	trières					
Remplacement	Irière	trière					
Remplacement	Irière,	trière,					
Remplacement	Irière.	trière.					
Remplacement	Irières	trières					
Remplacement	Iriomphant	triomphant					
Remplacement	Irniivc	trouve					
Remplacement	Irnp	trop					
Remplacement	Irop	trop					
Remplacement	Irouvaille	trouvaille					
Remplacement	iStils	Stils					
Remplacement	Itayel	Rayet					
Remplacement	Itcinach	Reinach					
Remplacement	Itenard	Renard					
Remplacement	Itou	Rev					
Remplacement	IVagmenl	fragment					
Remplacement	IVagmenls	fragments					
Remplacement	IVappail	frappait					
Remplacement	iVAthéna	d’Athéna					
Remplacement	IVpoqnc	l’époque					
Remplacement	Ix'iIiiticn(	bâtiment					
Remplacement	J'afel	Tafel					
Remplacement	J'yrenonce	J'y renonce					
Remplacement	j’enlrepris	j’entrepris					
Remplacement	j)as	pas					
Remplacement	J)e	De					
Remplacement	j)r<)veiiant	provenant					
Remplacement	j)résent	présent					
Remplacement	j)resscnt	pressent					
Remplacement	j)ublic	public					
Remplacement	Ja|ion	Japon					
Remplacement	jai	j’ai					
Remplacement	jdus	plus					
Concatenation	Jého\ ah	Jéhovah					
Remplacement	jialais	palais					
Remplacement	jiarade	parade					
Remplacement	JiÉSUMÉES	RÉSUMÉES					
Remplacement	Jiludes	Études					
Remplacement	jioinl	point					
Remplacement	jioint	point					
Remplacement	jionsée	pensée					
Remplacement	jirovenaienl	provenaient					
Remplacement	jkmiiiis	permis					
Remplacement	Jlfycènes	Mycènes					
Remplacement	jmur	pour					
Remplacement	jtremier	premier					
Remplacement	jue	que					
Remplacement	jui	qui					
Remplacement	Jui-mème!	Lui-même!					
Remplacement	jui!let).	juillet).					
Remplacement	Julcs	Jules					
Remplacement	jus(|u'au	jusqu’au					
Remplacement	jusi|u	jusqu					
Remplacement	jusiiu'en	jusqu’en					
Remplacement	juslemenl	justement					
Remplacement	jusles	justes					
Remplacement	jusqu'ù	jusqu’à					
Remplacement	Jusqulci	Jusqu’ici					
Remplacement	justilié	justifié					
Remplacement	KDMOND	EDMOND					
Remplacement	Keinach	Reinach					
Remplacement	Keitende	Reitende					
Remplacement	Kf'kulé	Kekulé					
Remplacement	kilomètrcs	kilomètres					
Remplacement	Klcusis	Éleusis					
Remplacement	Klle	Elle					
Remplacement	Knôclielspitl	Knöchelspiel					
Remplacement	Knùcltelspielerin	Knöchelspielerin					
Remplacement	KoERTE	Koerte					
Remplacement	KöjitV	Köpfe					
Remplacement	Komains	Romains					
Remplacement	Komödien-Sceuen	Komödien-Scenen					
Remplacement	Komödien-Sceuen,	Komödien-Scenen,					
Remplacement	Krausc	Krause					
Remplacement	Ksl	Est					
Remplacement	KT	ET					
Remplacement	Kuirre	suivre					
Remplacement	Kxlrail	Extrait					
Remplacement	Kxtrait	Extrait					
Remplacement	l,e.s	les					
Remplacement	l.aliyrintlie	labyrinthe					
Remplacement	l'.Vngleterre	l’Angleterre					
Concatenation	L'A HT	L’ART					
Remplacement	l'acilonienl	facilement					
Remplacement	l'AI'riiiue	l’Afrique					
Remplacement	l'aRCHÉOLOGIE	L'ARCHÉOLOGIE					
Remplacement	l'archéolosTie	l’archéologie					
Remplacement	l'arclionlal	l’archontat					
Remplacement	l'arlislc	l’artiste					
Remplacement	l'arlisle	l’artiste					
Remplacement	l'arlislo	l’artiste					
Remplacement	l'arrhileclure	l’architecture					
Remplacement	l'arrôt	l’arrêt					
Remplacement	l'Assemldée	l’Assemblée					
Remplacement	l'assijcier	l’associer					
Remplacement	l'atlmie	l’atimie					
Remplacement	l'aulre	l’autre					
Remplacement	l'ausan	Pausan					
Remplacement	l'avanl	l’avant					
Remplacement	l'axez	l’avez					
Remplacement	L'blgypte	L’Égypte					
Remplacement	l'cmporlenl	l’emportent					
Remplacement	L'dtude	L’étude					
Remplacement	l'e.xactitude	l'exactitude					
Remplacement	l'éâlise	l’église					
Remplacement	L'ÉCOLB	L’ÉCOLE					
Remplacement	L'ÉCOLK	L’ÉCOLE					
Remplacement	l'Ecolo	l’École					
Remplacement	l'édilice	l’édifice					
Remplacement	L'Ëgypt«	L’Égypte					
Remplacement	l'Ëirurie	l’Étrurie					
Remplacement	l'élatde	l’état de					
Remplacement	l'èmaïlleric	l’émaillerie					
Remplacement	l'énormilé	l’énormité					
Remplacement	l'esl	l’est					
Remplacement	l'etforl	l’effort					
Remplacement	l'Euphrale	l'Euphrate					
Remplacement	l'extréinité	l’extrémité					
Remplacement	L'hislnire	L’histoire					
Remplacement	l'i-lection	l’élection					
Remplacement	l'i'au	l’eau					
Remplacement	l'iance	France					
Remplacement	l'iiiscriplioii	l’inscription					
Remplacement	l'Iionncur	l’honneur					
Remplacement	l'iionnue	l’homme					
Remplacement	l'iïuropc	l’Europe					
Remplacement	l'im	l’on					
Remplacement	l'imaginalion	l’imagination					
Concatenation	l'in« térieur	l’intérieur					
Remplacement	l'inlroduclion	l’introduction					
Remplacement	l'innuence	l’influence					
Remplacement	l'inscriplion	l’inscription					
