Type d'erreur	Erreur observée	Correction proposée	Fréquence dans l'échantillon	Frequence dans TGB	Date corpus	Date océrisation( voir gaël)	Remarque
Remplacement	1’Ksl	l’Est					
Remplacement	6t6	été					
Remplacement	6x6	été					
Remplacement	8chwegler	Schwegler					
Remplacement	8TATUBB	STATUES					
Remplacement	8TATUBS	STATUES					
Remplacement	8ur	Sur					
Remplacement	â	à	654				
Remplacement	Â	à	160				
Remplacement	a-ait	avait					
Remplacement	a-l-elle	a-t-elle					
Remplacement	A'ases	vases					
Remplacement	A'ivent	vivent					
Remplacement	a\ail	avait					
Remplacement	a\ait	avait					
Remplacement	a\oir	avoir					
Remplacement	à^^e	âge					
Remplacement	Abacns	Abacus					
Remplacement	ABCHÉOLOGIOU^	ARCHÉOLOGIQUES					
Remplacement	ac/iats	achats					
Remplacement	Academie	Académie	3				
Remplacement	academie	Académie	2				
Remplacement	Acale	Attale					
Remplacement	accepler	accepter					
Remplacement	Accordees	accordées	1				
Concatenation	accrois« sements.	accroissements.					
Remplacement	Achilte	Achille					
Remplacement	Achitle	Achille					
Remplacement	Achitte	Achille					
Remplacement	ACIËNCKS	SCIENCES					
Remplacement	aciivenieni	activement					
Remplacement	acJiats	achats					
Remplacement	Acjriculturc	Agriculture					
Remplacement	Ackéménides	Achéménides					
Remplacement	aclion	action					
Concatenation	acqué- rir	acquérir					
Remplacement	acqué^rir	acquérir					
Remplacement	ad/nirateurs	admirateurs					
Remplacement	admelfre	admettre					
Remplacement	adnu'ré	admiré					
Remplacement	Aeheloos	Acheloos					
Remplacement	Afar/a.iin	Magasin					
Remplacement	afi'aire	affaire					
Remplacement	afsaire	affaire	1				
Remplacement	Ahènes	Athènes					
Remplacement	ahsolumenl	absolument					
Remplacement	Ai-oir	avoir					
Remplacement	aiclieolo-	archéolo-					
Remplacement	aicnl	aient					
Remplacement	aienl	aient					
Remplacement	AIICIIKÔLOliUliS	ARCHÉOLOGUES					
Remplacement	aîle	aile	25				
Remplacement	aîles	ailes	11				
Remplacement	àine	âme					
Remplacement	âINTRODUCTION	INTRODUCTION					
Remplacement	airni's	aimés					
Remplacement	aitées	ailées					
Remplacement	àl'emplacement	à l'emplacement					
Concaténation	àla	à la	419				
Remplacement	Àla	à la	2				
Remplacement	àLa	à la	1				
Remplacement	Alcssanâro	Alessandro					
Remplacement	Alcxandros	Alexandros					
Remplacement	aleméonides	Alcméonides					
Remplacement	Alhen	Athen					
Remplacement	Alhener	Athener					
Remplacement	Alhi'ua	Athéna					
Remplacement	Aliiéniens	Athéniens					
Remplacement	allachées	attachées					
Remplacement	allaebé	attaché					
Remplacement	allcndail	attendait					
Remplacement	alle	allé	8				
Remplacement	Alle	Allé	5				
Remplacement	allemandecroitavoirretrouvé,de	allemande croit avoir retrouvé, de					
Remplacement	Allerlh	Alterth					
Remplacement	Alliénée	Athénée					
Remplacement	Allique	Attique					
Remplacement	allribulions	attributions					
Remplacement	allrihué	attribué					
Concatenation	altar- piece	altarpiece					
Remplacement	amateui'	amateur					
Remplacement	amends	amenés					
Remplacement	ami'iier	amener					
Remplacement	amiliè	amitié					
Remplacement	an-d('ssus	au-dessus					
Remplacement	analogie»	analogies					
Remplacement	ANCIKN	ANCIEN					
Remplacement	Anfènge	Anfänge					
Remplacement	ANGIEN	ANCIEN					
Remplacement	angmenlnnl	augmentant					
Remplacement	Aniiq	Antiq					
Remplacement	animde	animée					
Remplacement	anli'niilén	antiquités					
Remplacement	Anliqnae	Antiquae					
Remplacement	Anllwl	Anthol					
Remplacement	anlres	autres					
Remplacement	AnnoUi	Annalli					
Remplacement	anntîes	années					
Remplacement	anruieul	auraient					
Remplacement	anti(|uaii-es	antiquaires					
Remplacement	anti(jue	antique					
Remplacement	Anticyrc	Anticyre					
Remplacement	antif/uités	antiquités					
Remplacement	Antlml	Anthol					
Remplacement	Anxeiger	Anzeiger					
Remplacement	aox	aux					
Remplacement	apiès	après					
Remplacement	appaiteiiant	appartenant					
Remplacement	Appliqud	Appliqué					
Remplacement	appnrliennenl	appartiennent					
Remplacement	apporlaicul	apportaient					
Remplacement	apporle	apporte					
Remplacement	apprcLaient	apprétaient					
Remplacement	approxi-mulive	approximative					
Remplacement	Ar^ertissement	Avertissement					
Remplacement	arbilraire	arbitraire					
Remplacement	arc/tc'olo<^i/e	archéologue					
Remplacement	arcbéologique	archéologique					
Remplacement	archceologischen	archaeologischen					
Remplacement	Archceology	Archaeology					
Remplacement	archdologue	archéologue					
Remplacement	ARCHÉOLOGiaUES	ARCHÉOLOGIQUES					
Remplacement	archeologique^	archéologique					
Remplacement	ARCHÉOU	ARCHÉOLOGIQUES					
Remplacement	architectoni-(jue	architectonique					
Remplacement	Arcli	Arch					
Remplacement	arcli	arch					
Remplacement	arclr	arch					
Remplacement	ardeoibe	ardente					
Remplacement	arec	avec					
Remplacement	ÂRGHÉ0L06iQ0SS	ARCHÉOLOGIQUES					
Remplacement	arhilraire	arbitraire					
Remplacement	arislocratiiiuc	aristocratique					
Remplacement	Arislote	Aristote					
Remplacement	aristcxTatiqiK'	aristocratique					
Remplacement	Arjnes	Armes					
Remplacement	arl	art					
Remplacement	arlicle	article					
Remplacement	arls	arts					
Remplacement	ARMORlAL	ARMORIAL	1				
Remplacement	arristique	artistique					
Remplacement	artisice	artifice	1				
Remplacement	ase	vase					
Remplacement	àse	à se					
Remplacement	Asin	afin	1				
Remplacement	àSolon	à Solon					
Remplacement	asse/	assez					
Remplacement	assur^ment	assurément					
Remplacement	assurénuMil	assurément					
Remplacement	Atale	Attale					
Remplacement	Atcale	Attale					
